Mombo_ShotID,Club,Time,Golfer,Shot,Video,Ball_mph,Club_mph,Smash_Factor,Carry_yds,Total_yds,Roll_yds,Swing_H,Spin_rpm,Height_ft,Time_s,AOA,Spin_Loft,Swing_V,Spin_Axis,Lateral_yds,Shot_Type,FTP,FTT,Dynamic_Loft,Club_Path,Launch_H,Launch_V,Low_Point_ftin,DescentV,Curve_Dist_yds,Lateral_Impact_in,Vertical_Impact_in,Mode,Location,Unnamed_35,Unnamed_36,Unnamed_37,Unnamed_38,Unnamed_39,Unnamed_40,Comment,User1,User2,Exclude
00680,8 Iron,20241223  4:01:00 PM,Alex,46,,107.2,88.5,1.21,147.4,151.2,3.7,3.4 L,5702,53.9,4.9,5.7,26.2,64.6,11.9 L,18.6 L,Pull/Draw,5.4 L,6.1 L,20,0.7 L,4.9 L,14,5,35.1,,0.28,0.04,Indoor ,2211 Glenmount,,,,,,,,,,
00681,8 Iron,20241223  4:01:00 PM,Alex,47,,115.3,87.3,1.32,161.3,161.5,0.2,4.6 L,7098,110.3,6.4,6.4,42,62.3,3.2 R,3.5 R,Straight,2.3 R,1.1 R,35.5,1.2 L,0.4 R,22.1,5.7,50,,0.01,0.67,Indoor ,2211 Glenmount,,,,,,,,,,
00682,8 Iron,20241223  4:01:00 PM,Alex,48,,96.3,85.8,1.12,126,133,7.1,5.4 L,5712,45.5,4.4,7.7,31.6,62.9,3.8 L,7.8 L,Straight,2.1 L,3.5 L,23.8,1.4 L,2.9 L,15.3,6.8,33.4,,0.92,0.05,Indoor ,2211 Glenmount,,,,,,,,,,
00683,8 Iron,20241223  4:01:00 PM,Alex,49,,96.6,85.4,1.13,127.6,130.7,3,2.6 L,5957,50.4,4.6,6.1,31.7,63.8,11.7 L,14.2 L,Pull/Draw,6.4 L,6 L,24.9,0.5 R,4.2 L,16.6,5.7,35.7,,1.06,0.26,Indoor ,2211 Glenmount,,,,,,,,,,
00684,8 Iron,20241223  4:01:00 PM,Alex,50,,105.3,85,1.24,147.4,149.1,1.7,1.8 R,5957,71.3,5.4,3.2,28.9,62.4,6.4 L,0.7 L,Draw,3.2 L,0.3 R,25.5,3.5 R,1.1 R,18.3,3,41.5,,0.71,0.01,Indoor ,2211 Glenmount,,,,,,,,,,
00685,8 Iron,20241223  4:01:00 PM,Alex,51,,111.6,86.9,1.28,153.6,153.6,0,1.9 L,7440,105.2,6.3,4.6,39.2,60.5,1.4 R,4.7 R,Straight,1 R,1.7 R,34.7,0.7 R,1.4 R,22.6,4.3,49.9,,0.38,0.22,Indoor ,2211 Glenmount,,,,,,,,,,
00686,8 Iron,20241223  4:01:00 PM,Alex,52,,112.3,83.1,1.35,157.3,158.2,0.9,6.2 R,6904,76.1,5.6,6.9,32,61.8,4.9 L,18.7 R,Push/Draw,2.8 L,7.2 R,24.9,10 R,8 R,16.3,6.1,42.6,,0.29,0.22,Indoor ,2211 Glenmount,,,,,,,,,,
00687,8 Iron,20241223  4:01:00 PM,Alex,53,,100.4,84.4,1.19,131.3,138.2,6.9,8.3 R,6318,44.8,4.5,6.4,26.7,63.2,11.3 L,12.5 R,Push/Draw,5.2 L,6.3 R,19.8,11.6 R,7.6 R,13.6,5.7,32.9,,0.54,0.19,Indoor ,2211 Glenmount,,,,,,,,,,
00688,8 Iron,20241223  4:01:00 PM,Alex,54,,117.2,84.6,1.39,166.5,167.6,1.1,3.5 R,6758,77.1,5.8,9.4,33.8,61.6,5 L,15.4 R,Push/Draw,2.9 L,5.6 R,24.3,8.6 R,6.5 R,14.9,8.5,42.2,,0.08,0.55,Indoor ,2211 Glenmount,,,,,,,,,,
00689,Pitching Wedge,20241223  4:01:00 PM,Alex,1,,75.4,73.7,1.02,87.5,90.6,3.1,0.1 R,8032,41,3.9,7.7,44.6,66.6,0.7 L,4.5 R,Straight,0.6 L,2.9 R,36.9,3.5 R,3.1 R,22.1,6.2,37.9,,0.89,0.15,Indoor ,2211 Glenmount,,,,,,,,,,
00690,Pitching Wedge,20241223  4:01:00 PM,Alex,2,,92.1,78.9,1.17,121.1,122.8,1.7,0.5 R,6195,56.2,4.7,5.8,36.1,64.6,2.6 L,3.4 R,Straight,1.6 L,1.6 R,30.2,3.2 R,2.1 R,19.7,5.2,39.1,,0.61,0.06,Indoor ,2211 Glenmount,,,,,,,,,,
00691,Pitching Wedge,20241223  4:01:00 PM,Alex,3,,96.2,77.3,1.24,127.7,128.5,0.8,0.1 R,7012,64.8,5,5.6,36.1,64.6,1.3 L,4.2 R,Straight,0.9 L,1.9 R,30.5,2.8 R,2.2 R,19.9,5,42,,0.36,0.35,Indoor ,2211 Glenmount,,,,,,,,,,
00692,Pitching Wedge,20241223  4:01:00 PM,Alex,4,,101.5,81.4,1.25,136.5,137,0.4,2.8 R,7442,86.3,5.7,4.9,40.7,62.6,5.5 R,21.9 R,Push/Fade,3.9 R,9.2 R,35.7,5.3 R,8 R,22.9,4.8,47.5,,0.47,0.46,Indoor ,2211 Glenmount,,,,,,,,,,
00693,Pitching Wedge,20241223  4:01:00 PM,Alex,5,,98.6,78.2,1.26,130.2,130.2,0,4.5 R,7842,86,5.6,4,41.4,64.1,2.6 R,18.9 R,Push,1.9 R,8.3 R,37.3,6.5 R,7.7 R,24.2,3.8,48.3,,0.28,0.32,Indoor ,2211 Glenmount,,,,,,,,,,
00694,Pitching Wedge,20241223  4:01:00 PM,Alex,6,,99.5,81.2,1.23,132.4,132.8,0.4,0.8 R,7828,74.8,5.4,5.3,37.2,61.9,0.2 R,8.6 R,Push,0.1 R,3.8 R,31.9,3.6 R,3.7 R,20.8,5.2,45,,0.78,0.73,Indoor ,2211 Glenmount,,,,,,,,,,
00695,Pitching Wedge,20241223  4:01:00 PM,Alex,7,,95.2,80.9,1.18,125.5,126.2,0.7,4.1 R,7332,66.3,5,4.3,35.6,66.2,7.8 L,1.9 R,Draw,4.9 L,1.1 R,31,6 R,2.5 R,20.8,4,42.9,,0.93,0.33,Indoor ,2211 Glenmount,,,,,,,,,,
00696,Pitching Wedge,20241223  4:01:00 PM,Alex,8,,92.1,79.9,1.15,118.1,120,1.9,2.8 R,8374,63.1,4.9,6.2,39.8,63.7,6.7 R,21.4 R,Push/Fade,4.7 R,10.5 R,33.4,5.8 R,9.1 R,21.1,5.9,43.1,,0.76,0.49,Indoor ,2211 Glenmount,,,,,,,,,,
00697,Pitching Wedge,20241223  4:01:00 PM,Alex,9,,101.5,80.9,1.25,136.5,137.1,0.6,6 R,7488,73.1,5.4,4.4,33.6,66.6,7.1 L,7.8 R,Push/Draw,4.2 L,3.7 R,29,7.9 R,4.9 R,19.7,4.4,43.9,,0.52,0.11,Indoor ,2211 Glenmount,,,,,,,,,,
00698,Pitching Wedge,20241223  4:01:00 PM,Alex,10,,105.7,83.4,1.27,145.5,146.4,0.9,4.4 R,6912,72.9,5.4,5.2,32.5,62.4,10.2 L,1.3 R,Draw,5.8 L,1.3 R,26.9,7.1 R,2.9 R,18.1,5.1,42.7,,0.69,0.49,Indoor ,2211 Glenmount,,,,,,,,,,
00699,Pitching Wedge,20241223  4:01:00 PM,Alex,11,,98.6,85.4,1.15,131.3,132.5,1.1,3.3 R,7042,60.7,5,5.7,33.1,64.5,9.3 L,0.4 R,Draw,5.4 L,0.7 R,27,6 R,2.1 R,17.9,5.3,40.1,,0.94,0.37,Indoor ,2211 Glenmount,,,,,,,,,,
00700,Pitching Wedge,20241223  4:01:00 PM,Alex,12,,102.7,81.6,1.26,141.1,142.4,1.3,2.2 R,6386,69,5.3,5.7,33.8,66.6,3.3 L,6.2 R,Straight,2 L,2.7 R,28,4.6 R,3.2 R,18.5,5.2,41.7,,0.45,0.29,Indoor ,2211 Glenmount,,,,,,,,,,
00701,Pitching Wedge,20241223  4:01:00 PM,Alex,13,,91,83,1.1,118.5,120.4,1.8,5.5 R,6204,53.9,4.6,4.3,33.5,65.4,8.9 L,4.2 R,Push/Draw,5.2 L,2.3 R,28.8,7.5 R,3.7 R,19.5,4.1,38.5,,0.73,0.04,Indoor ,2211 Glenmount,,,,,,,,,,
00702,Pitching Wedge,20241223  4:01:00 PM,Alex,14,,88,82.8,1.06,110.3,113,2.6,4.8 R,8175,53.5,4.5,5.9,37.6,65.8,7 L,5.5 R,Push/Draw,4.6 L,2.8 R,31.4,7.4 R,4.2 R,20.2,5.4,40.3,,0.87,0.12,Indoor ,2211 Glenmount,,,,,,,,,,
00703,Pitching Wedge,20241223  4:01:00 PM,Alex,15,,97.3,81.6,1.19,128.2,128.7,0.5,0.1 R,7765,65.5,5.1,6.4,36.7,62.2,1.6 L,5.3 R,Straight,1 L,2.4 R,30.3,3.5 R,2.7 R,19.4,5.7,42.5,,0.87,0.3,Indoor ,2211 Glenmount,,,,,,,,,,
00704,Pitching Wedge,20241223  4:01:00 PM,Alex,16,,97.4,81.3,1.2,128.9,129.4,0.5,0.4 R,7664,72.6,5.3,4.3,36.5,65.6,6.2 L,4 L,Draw,4 L,1.6 L,32,2.4 R,0.4 L,21.3,4.1,44.7,,0.54,0.24,Indoor ,2211 Glenmount,,,,,,,,,,
00705,Pitching Wedge,20241223  4:01:00 PM,Alex,17,,96.6,81.5,1.19,128.6,131,2.4,1.6 L,6091,54.4,4.7,7.3,34.6,67.1,3.1 L,0.9 L,Straight,1.9 L,0.3 L,27.2,1.5 R,0.2 R,17.4,6.4,37.4,,0.69,0.46,Indoor ,2211 Glenmount,,,,,,,,,,
00706,Pitching Wedge,20241223  4:01:00 PM,Alex,18,,82.8,79,1.05,101.4,104.2,2.9,1.4 R,7857,49.5,4.3,4,36.1,64.7,1 L,4.7 R,Straight,0.6 L,2.7 R,32.1,3.3 R,2.9 R,21.5,3.7,39.7,,1.2,0.1,Indoor ,2211 Glenmount,,,,,,,,,,
00707,Pitching Wedge,20241223  4:01:00 PM,Alex,19,,101.5,83,1.22,137.9,138.6,0.6,0.6 L,6958,83.9,5.6,3.4,36.7,64.5,1.8 L,0.6 L,Straight,1.1 L,0.2 L,33.3,1 R,0.2 R,22.4,3.1,46.6,,0.23,0.36,Indoor ,2211 Glenmount,,,,,,,,,,
00708,Pitching Wedge,20241223  4:01:00 PM,Alex,20,,100.9,83.3,1.21,135.8,136.3,0.5,3.8 L,7395,81.8,5.6,5.4,39.9,64.3,3.4 R,2.9 R,Straight,2.4 R,1.2 R,34.5,1.2 L,0.5 R,22,4.8,46.4,,0.24,0.25,Indoor ,2211 Glenmount,,,,,,,,,,
00709,Pitching Wedge,20241223  4:01:00 PM,Alex,21,,87.9,82.9,1.06,111.4,113.8,2.3,2.7 L,7777,59.5,4.7,5.2,39.6,67.8,1.2 R,0.4 R,Straight,0.8 R,0.3 R,34.4,0.6 L,0 L,22.1,4.6,42.5,,0.85,0.14,Indoor ,2211 Glenmount,,,,,,,,,,
00710,Pitching Wedge,20241223  4:01:00 PM,Alex,22,,99.3,82.6,1.2,132.7,133.2,0.5,2.3 L,7520,76.2,5.4,5.4,38.4,67,1.4 R,2.2 R,Straight,1 R,1 R,33.1,0 L,0.7 R,21.4,4.8,45.3,,0.82,0.34,Indoor ,2211 Glenmount,,,,,,,,,,
00711,Pitching Wedge,20241223  4:01:00 PM,Alex,23,,103.8,83.9,1.24,140.3,140.7,0.4,0.5 R,7693,80.7,5.6,5.1,36,63.7,0.7 L,6.3 R,Straight,0.4 L,2.6 R,30.9,3.1 R,2.8 R,20.4,4.8,45.8,,0.8,0.4,Indoor ,2211 Glenmount,,,,,,,,,,
00712,Pitching Wedge,20241223  4:01:00 PM,Alex,24,,102.7,83.6,1.23,138.5,138.9,0.4,3.8 L,7635,83.5,5.6,4.5,37.2,64,2.5 L,8.2 L,Straight,1.7 L,3.3 L,32.6,1.6 L,2.8 L,21.6,4,46.7,,0.41,0.74,Indoor ,2211 Glenmount,,,,,,,,,,
00713,Pitching Wedge,20241223  4:01:00 PM,Alex,25,,98.8,83.7,1.18,132.7,133.4,0.7,3.1 L,7093,71.3,5.3,4.7,35.5,65.5,2.7 R,1.9 R,Straight,1.7 R,0.7 R,30.7,0.9 L,0.3 R,20.4,4.2,43.6,,0.61,0.17,Indoor ,2211 Glenmount,,,,,,,,,,
00714,6 Iron,20241222  8:14:00 PM,Dave,1,,95.8,75.2,1.27,115.9,130.6,14.7,9.8 L,4341,27.9,3.6,5.9,21.9,61.7,4 L,16.9 L,Pull,1.5 L,8.2 L,15.9,6.6 L,7.9 L,11.5,5,23.5,,0.17,0.07,Indoor ,2211 Glenmount,,,,,,,,,,
00715,6 Iron,20241222  8:14:00 PM,Dave,2,,98.2,72.9,1.35,120.3,137.2,16.9,12.6 L,3538,28.1,3.6,6.6,23.5,62.5,9.1 R,10.4 L,Pull/Fade,3.7 R,5.4 L,16.6,9.1 L,6.2 L,11.6,5.6,22.6,,0.96,0.29,Indoor ,2211 Glenmount,,,,,,,,,,
00716,6 Iron,20241222  8:14:00 PM,Dave,3,,92.9,70.2,1.32,125.4,134.8,9.4,4.7 L,3052,47.2,4.3,3.1,30.8,59.2,14.5 R,10.7 R,Fade,7.7 R,4.9 R,26.7,2.8 L,2.8 R,18.8,2.9,32.5,,0.22,0.11,Indoor ,2211 Glenmount,,,,,,,,,,
00717,6 Iron,20241222  8:14:00 PM,Dave,4,,90.5,73.4,1.23,111,120.2,9.2,9.7 L,5627,34.3,3.9,4.1,23.5,58.9,6.3 R,8.2 L,Pull/Fade,2.6 R,4.7 L,19.2,7.3 L,5.2 L,14.2,3.8,29,,0.81,0.48,Indoor ,2211 Glenmount,,,,,,,,,,
00718,6 Iron,20241222  8:14:00 PM,Dave,5,,94.6,72.2,1.31,125.1,127.7,2.6,10.2 L,6032,54.1,4.7,5,33.6,67.7,15.6 R,2.8 R,Fade,9.1 R,0.9 R,27.5,8.2 L,1.7 L,18.4,3.3,37.7,,,,Indoor ,2211 Glenmount,,,,,,,,,,
00719,6 Iron,20241222  8:14:00 PM,Dave,6,,106,78.6,1.35,146.4,149.5,3.1,9.2 L,5787,58.2,5,6,28.8,60.6,10.2 R,0.5 R,Fade,5.1 R,0.7 L,22.4,5.8 L,2 L,15.2,5.3,36.9,,0.38,0.14,Indoor ,2211 Glenmount,,,,,,,,,,
00720,6 Iron,20241222  8:14:00 PM,Dave,7,,104.7,79.4,1.32,143.5,146.4,2.9,9.1 L,5920,56.4,4.9,6,28.5,62,9 R,1.7 L,Fade,4.5 R,1.5 L,22.2,5.9 L,2.6 L,15.1,5.3,36.6,,0.39,0.04,Indoor ,2211 Glenmount,,,,,,,,,,
00721,6 Iron,20241222  8:14:00 PM,Dave,8,,110.6,82,1.35,154.7,157.6,2.9,6.9 L,5883,60.5,5.2,6.6,28.1,61.9,10.2 R,7.1 R,Fade,5 R,1.6 R,21,3.4 L,0.4 R,14.2,6,37.1,,0.62,0.12,Indoor ,2211 Glenmount,,,,,,,,,,
00722,6 Iron,20241222  8:14:00 PM,Dave,9,,109.2,83.2,1.31,153.3,156.4,3.1,7.9 L,5647,61.7,5.2,5.9,28.1,59.4,8.8 R,2.1 R,Fade,4.3 R,0.1 L,21.9,4.4 L,1.1 L,15,5.5,37.5,,0.26,0.04,Indoor ,2211 Glenmount,,,,,,,,,,
00723,6 Iron,20241222  8:14:00 PM,Dave,10,,87.5,81.4,1.07,85.8,106.4,20.6,6.9 L,5226,16.1,2.6,6.9,34.6,59.1,45 R,30.1 R,Push/Slice,25 R,22.2 R,17.4,2.8 L,15.1 R,10.4,6.3,17.4,,0.93,0.4,Indoor ,2211 Glenmount,,,,,,,,,,
00724,6 Iron,20241222  8:14:00 PM,Dave,11,,106.5,79.8,1.33,149.3,151.3,2,6.1 L,5877,68.7,5.3,5.1,30.8,58.9,8.6 R,6.1 R,Fade,4.6 R,1.6 R,25.4,3 L,0.4 R,17.3,4.9,40.5,,0.16,0.1,Indoor ,2211 Glenmount,,,,,,,,,,
00725,6 Iron,20241222  8:14:00 PM,Dave,12,,102.9,81.6,1.26,139.2,143.1,3.9,7.6 L,5599,50.8,4.7,5.5,26.7,59.7,9 R,1.4 R,Fade,4.2 R,0.2 L,20.9,4.4 L,1.2 L,14.6,5.5,34.4,,0.62,0.11,Indoor ,2211 Glenmount,,,,,,,,,,
00726,6 Iron,20241222  8:14:00 PM,Dave,13,,108,81.6,1.32,151.4,153.9,2.6,7.9 L,5848,64.9,5.2,5.2,29,61,11.2 R,4.3 R,Fade,5.6 R,0.6 R,23.2,5 L,0.8 L,16,4.8,39,,0.64,0.16,Indoor ,2211 Glenmount,,,,,,,,,,
00727,6 Iron,20241222  8:14:00 PM,Dave,14,,108.3,75.7,1.43,139.2,158,18.8,6.8 L,3220,30.6,3.9,5.6,20.1,59.9,12.4 L,21.1 L,Pull/Draw,4.3 L,7.8 L,14,3.5 L,7 L,10.4,5.2,22.1,,0.61,0.18,Indoor ,2211 Glenmount,,,,,,,,,,
00728,6 Iron,20241222  8:14:00 PM,Dave,15,,90.7,69.9,1.3,108.7,118.7,9.9,10.2 L,5850,30.8,3.7,6,24.8,57.3,8.5 R,3.9 L,Pull/Fade,3.6 R,2.7 L,18.5,6.3 L,3.5 L,13,5.8,27.1,,0.91,0.32,Indoor ,2211 Glenmount,,,,,,,,,,
00729,6 Iron,20241222  8:14:00 PM,Dave,16,,111.3,78.5,1.42,157.4,160.3,2.9,7.2 L,5673,63.2,5.3,5.2,25.7,57.2,1.7 R,7.7 L,Straight,0.8 R,3.1 L,20.5,3.8 L,3.2 L,14.6,5.2,37.8,,0.29,0.41,Indoor ,2211 Glenmount,,,,,,,,,,
00730,6 Iron,20241222  8:14:00 PM,Dave,17,,106.9,77.8,1.37,149.6,152.2,2.6,8.2 L,5764,64.3,5.2,4.7,28.2,59.4,9 R,0.2 L,Fade,4.4 R,1 L,23.2,5.4 L,2.1 L,16.3,4.4,38.9,,0.4,0.33,Indoor ,2211 Glenmount,,,,,,,,,,
00731,6 Iron,20241222  8:14:00 PM,Dave,18,,84.9,77.1,1.1,99,108.7,9.7,8.4 L,5750,29.5,3.5,4.9,25.4,63.9,8.1 R,3.4 L,Fade,3.6 R,2.4 L,20.2,6 L,3.2 L,14.5,4.3,27.4,,0.12,0.27,Indoor ,2211 Glenmount,,,,,,,,,,
00732,6 Iron,20241222  8:14:00 PM,Dave,19,,105,77,1.36,145.9,148,2.1,8.7 L,5926,65.4,5.2,5.7,32,57.4,11.9 R,5.9 R,Fade,6.6 R,1.5 R,25.7,5.1 L,0.3 L,17.2,5.4,39.7,,0.08,0.18,Indoor ,2211 Glenmount,,,,,,,,,,
00733,6 Iron,20241222  8:14:00 PM,Dave,20,,95.3,76.5,1.24,122,130.4,8.4,8.5 L,5774,41.4,4.2,5.4,30.3,59.7,24.3 R,17.6 R,Push/Fade,12.5 R,7.2 R,22.3,5.3 L,3.9 R,15.1,5.1,31.7,,0.76,0.27,Indoor ,2211 Glenmount,,,,,,,,,,
00734,6 Iron,20241222  8:14:00 PM,Dave,21,,102.3,75.4,1.36,137.8,141.3,3.6,10.9 L,5819,50.8,4.7,5.7,27.4,57,10.6 R,3 L,Fade,5 R,2.2 L,21.2,7.2 L,3.4 L,14.7,5.5,34.7,,0.61,0.53,Indoor ,2211 Glenmount,,,,,,,,,,
00735,6 Iron,20241222  8:14:00 PM,Dave,22,,97.9,82.5,1.19,126.5,135.1,8.6,9 L,5554,40.4,4.3,5,23.6,61.4,0.7 L,14.4 L,Pull,0.3 L,6.6 L,18.7,6.3 L,6.5 L,13.6,4.6,30.7,,0.24,0.22,Indoor ,2211 Glenmount,,,,,,,,,,
00736,6 Iron,20241222  8:14:00 PM,Dave,23,,107.9,80.9,1.33,151.8,153.7,1.9,7.2 L,5962,70.5,5.4,6,32.6,60.7,11.7 R,9.5 R,Fade,6.6 R,2.8 R,26,3.9 L,0.9 R,17.2,5.4,40.9,,0.44,0.18,Indoor ,2211 Glenmount,,,,,,,,,,
00737,6 Iron,20241222  8:14:00 PM,Dave,24,,101.4,81,1.25,137.3,139.8,2.4,11.4 L,6387,59.4,4.9,6.9,37.3,58.3,23.3 R,19.6 R,Fade,14.8 R,7.7 R,27.6,7.1 L,3.3 R,17.2,6.4,38.5,,0.66,0.33,Indoor ,2211 Glenmount,,,,,,,,,,
00738,6 Iron,20241222  8:14:00 PM,Dave,25,,111.6,83,1.34,159.5,161.3,1.8,10.3 L,5947,78.5,5.7,6.2,34.9,58.1,16.5 R,12.6 R,Fade,10 R,3.5 R,27.4,6.4 L,0.7 R,17.8,5.8,42.5,,0.02,0.43,Indoor ,2211 Glenmount,,,,,,,,,,
00739,6 Iron,20241222  8:14:00 PM,Dave,26,,109.8,84.2,1.3,154.7,157.3,2.6,10.5 L,5883,66.6,5.3,5.3,29.2,57.3,14.4 R,4.1 R,Fade,7.3 R,0.2 R,23.1,7.1 L,1.7 L,15.9,5,39.2,,0.58,0.47,Indoor ,2211 Glenmount,,,,,,,,,,
00740,6 Iron,20241222  8:14:00 PM,Dave,27,,80.9,80.9,1,95.3,103.1,7.8,9.7 L,6166,35.3,3.7,6.1,42.9,59.3,32.4 R,24.1 R,Push/Fade,23.3 R,17.2 R,30.5,6 L,9.6 R,18.6,5.7,31.9,,0.88,0.13,Indoor ,2211 Glenmount,,,,,,,,,,
00741,6 Iron,20241222  8:14:00 PM,Dave,28,,99.7,76.6,1.3,136,138.5,2.5,9.5 L,5938,62,5,5.4,35.1,61.3,18 R,11.6 R,Fade,10.9 R,4.3 R,28.1,6.6 L,1.2 R,18.5,4.8,39.4,,0.28,0.28,Indoor ,2211 Glenmount,,,,,,,,,,
00742,6 Iron,20241222  8:14:00 PM,Dave,29,,103.5,77.2,1.34,142.2,144.8,2.6,10.1 L,5997,60.4,5,5.8,31.9,60.4,15.6 R,6.9 R,Fade,8.6 R,1.8 R,24.9,6.8 L,0.5 L,16.6,5.2,38.3,,0.29,0.29,Indoor ,2211 Glenmount,,,,,,,,,,
00743,6 Iron,20241222  8:14:00 PM,Dave,30,,77.9,77.2,1.01,77.5,90.6,13.1,12.1 L,7061,19.3,2.8,7.3,44.1,60.5,45 R,25.5 R,Push/Slice,31.8 R,23.8 R,24.1,8 L,13.3 R,13.7,6.4,22.4,,0.11,0.34,Indoor ,2211 Glenmount,,,,,,,,,,
00744,6 Iron,20241222  8:14:00 PM,Dave,31,,103.5,78.5,1.32,142.3,144.3,1.9,0.5 L,6113,63.3,5.1,5.8,31.5,62.6,8 R,18.5 R,Push/Fade,4.4 R,6.9 R,25.4,2.5 R,5.7 R,17.1,5.2,39.4,,0.21,0.07,Indoor ,2211 Glenmount,,,,,,,,,,
00745,6 Iron,20241222  8:14:00 PM,Dave,32,,105.9,86.9,1.22,147.5,150.2,2.8,2.8 L,5725,62.4,5.1,5.3,29.3,61.8,9.2 R,14.2 R,Push/Fade,4.7 R,4.7 R,23.6,0.1 R,3.5 R,16.2,4.6,38.4,,0.64,0.04,Indoor ,2211 Glenmount,,,,,,,,,,
00746,6 Iron,20241222  8:14:00 PM,Dave,33,,110.9,88.5,1.25,49.2,105.1,55.8,3.2 L,3031,1.5,1,1,4.5,60.6,45 R,2.5 R,Fade,3.4 R,0.8 R,2,2.6 L,0.6 R,1.8,1,2.7,,0.65,0.62,Indoor ,2211 Glenmount,,,,,,,,,,
00747,6 Iron,20241222  8:14:00 PM,Dave,34,,83.3,80.1,1.04,91.2,103.1,11.9,2.7 L,5577,22.8,3.2,7.2,25.9,64.6,1.5 L,0.3 R,Straight,0.7 L,0.1 R,18.6,0.7 R,0.2 R,12.6,6,23.3,,0.18,0.62,Indoor ,2211 Glenmount,,,,,,,,,,
00748,6 Iron,20241222  8:14:00 PM,Dave,35,,100.6,74.5,1.35,135.7,139.3,3.6,6.5 L,5640,52.2,4.7,6.1,29.8,58.2,9.7 R,7 R,Fade,5 R,2.3 R,23.3,2.7 L,1 R,15.7,5.7,35.4,,0.55,0.2,Indoor ,2211 Glenmount,,,,,,,,,,
00749,7 Iron,20241222  8:14:00 PM,Dave,1,,95,71.9,1.32,122.9,130.7,7.8,8.5 L,5575,42.7,4.3,6.1,28.7,62,9.4 R,0.3 L,Fade,4.7 R,0.6 L,22.3,5.3 L,1.8 L,15.2,4.7,32.3,,0.2,0.02,Indoor ,2211 Glenmount,,,,,,,,,,
00750,7 Iron,20241222  8:14:00 PM,Dave,2,,84.6,73.1,1.16,101.1,109,7.9,3.4 L,6000,34.1,3.7,3.3,26,64.5,13 R,8.2 R,Fade,5.9 R,4.1 R,22.1,1.8 L,2.7 R,16.1,2.4,30.3,,0.17,0.25,Indoor ,2211 Glenmount,,,,,,,,,,
00751,7 Iron,20241222  8:14:00 PM,Dave,3,,100.3,81.3,1.23,134.4,138.1,3.7,5.5 L,5622,49.8,4.6,6.4,28.9,61.7,2.3 R,1.6 L,Straight,1.2 R,0.8 L,22.4,2 L,1.1 L,15.1,5.5,34.5,,0.02,0.11,Indoor ,2211 Glenmount,,,,,,,,,,
00752,7 Iron,20241222  8:14:00 PM,Dave,4,,84.1,78.8,1.07,100.7,107.7,7,5.4 L,6253,35.3,3.8,5.4,29.5,64.7,3.8 R,1.4 L,Straight,2 R,0.9 L,24.1,2.9 L,1.4 L,16.5,4.6,31.3,,0.55,0.49,Indoor ,2211 Glenmount,,,,,,,,,,
00753,7 Iron,20241222  8:14:00 PM,Dave,5,,104.8,79.7,1.32,146.6,148.5,2,5.2 L,5841,69.4,5.3,5.4,32.7,61,8.1 R,7.3 R,Fade,4.6 R,2.4 R,27,2.2 L,1.2 R,18.1,4.7,40.9,,0.41,0.26,Indoor ,2211 Glenmount,,,,,,,,,,
00754,7 Iron,20241222  8:14:00 PM,Dave,6,,109.3,83.5,1.31,155.2,157.2,1.9,7.6 L,5843,73.8,5.5,5.3,31.7,61.7,10.5 R,4.9 R,Fade,5.8 R,1 R,25.9,4.7 L,0.5 L,17.5,5.1,41.5,,0.33,0.18,Indoor ,2211 Glenmount,,,,,,,,,,
00755,7 Iron,20241222  8:14:00 PM,Dave,7,,104.7,80.5,1.3,144.6,147.1,2.5,6.6 L,5913,60.8,5.1,5,28.3,64.1,7.5 R,0.2 R,Fade,3.7 R,0.6 L,23.1,4.2 L,1.5 L,16.1,4.4,38.2,,0.36,0.06,Indoor ,2211 Glenmount,,,,,,,,,,
00756,7 Iron,20241222  8:14:00 PM,Dave,8,,92.7,82.1,1.13,95,115.8,20.8,8.9 L,5071,16.9,2.8,7.8,29.5,60.6,38.8 R,23.3 R,Push/Fade,18.6 R,14.1 R,15.3,4.5 L,9.3 R,9.4,6.6,17,,1.38,0.24,Indoor ,2211 Glenmount,,,,,,,,,,
00757,7 Iron,20241222  8:14:00 PM,Dave,9,,105.7,78.6,1.34,147.5,149.4,1.9,4.7 L,5939,67.1,5.3,5.6,30.8,61.3,1.2 R,2.3 L,Straight,0.7 R,1 L,25.3,1.6 L,1.1 L,17.1,4.7,40.2,,0.46,0.01,Indoor ,2211 Glenmount,,,,,,,,,,
00758,7 Iron,20241222  8:14:00 PM,Dave,10,,85.9,79.9,1.07,103.1,111.8,8.6,5 L,5680,33.4,3.7,4.7,26.4,65,3.5 R,1.9 L,Straight,1.6 R,1.2 L,21.6,2.8 L,1.6 L,15.4,3.9,29.4,,0.08,0.46,Indoor ,2211 Glenmount,,,,,,,,,,
00759,7 Iron,20241222  8:14:00 PM,Dave,11,,95.1,81.4,1.17,69.3,102.2,33,10.3 L,4792,5.9,1.8,9.6,28.2,61.4,45 R,17.2 R,Push/Slice,20.7 R,15.6 R,9.7,5 L,10.5 R,4.9,8,7.9,,1.38,0.6,Indoor ,2211 Glenmount,,,,,,,,,,
